,breadcrumb,id,itemType,ldap,menuGroupId,menuId,menuItemId
2014-09-01 02:11:48,BPC - The Owl > Home,1923146,editable_area,juanpablo,225,32,0
2014-09-01 02:12:01,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1923147,abi_report,juanpablo,1557,32,7102
2014-09-01 04:00:17,BPC - The Owl > Home,1923340,editable_area,sarahchurch,225,32,0
2014-09-01 10:11:20,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1924473,abi_report,daniellaf,1558,32,7133
2014-09-01 10:16:01,BPC - The Owl > Home,1924503,editable_area,daniellaf,225,32,0
2014-09-01 10:16:02,BPC - The Owl > Home,1924504,editable_area,daniellaf,225,32,0
2014-09-01 13:52:27,BPC - The Owl > Home,1925338,editable_area,daniellaf,225,32,0
2014-09-01 13:52:52,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1925339,abi_report,daniellaf,1557,32,7102
2014-09-01 13:57:16,BPC - The Owl > Home,1925351,editable_area,daniellaf,225,32,0
2014-09-01 13:59:39,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1925366,abi_report,daniellaf,1557,32,7102
2014-09-01 14:17:29,BPC - The Owl > Home,1925439,editable_area,daniellaf,225,32,0
2014-09-01 14:43:13,BPC - The Owl > Home,1925557,editable_area,willj,225,32,0
2014-09-01 15:33:23,BPC - The Owl > Home,1925751,editable_area,sotirisr,225,32,0
2014-09-01 15:34:43,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1925752,abi_report,sotirisr,1557,32,7102
2014-09-01 15:35:37,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Accountability Summary,1925759,abi_report,sotirisr,1557,32,7103
2014-09-01 15:35:48,BPC - The Owl > Deal Insights > Metrics By Deal Activity > [Beta] Distribution ,1925762,abi_report,sotirisr,1557,32,7104
2014-09-01 15:36:20,BPC - The Owl > RMC Internal Insights > Training > Coverage,1925770,abi_report,sotirisr,1558,32,7121
2014-09-01 15:36:41,BPC - The Owl > RMC Internal Insights > Training > Quizzes,1925773,abi_report,sotirisr,1558,32,7122
2014-09-01 15:36:56,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary of All Cases,1925775,abi_report,sotirisr,1558,32,7125
2014-09-01 15:37:18,BPC - The Owl > RMC Internal Insights > gCases Queries > Queue Management > Volume,1925776,abi_report,sotirisr,1558,32,7127
2014-09-01 15:37:28,BPC - The Owl > RMC Internal Insights > gCases Queries > Queue Management > Efficiency,1925777,abi_report,sotirisr,1558,32,7128
2014-09-01 15:38:07,BPC - The Owl > RMC Internal Insights > gCases Queries > CIR Metrics,1925788,abi_report,sotirisr,1558,32,7129
2014-09-01 15:38:20,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary By Requestor,1925790,abi_report,sotirisr,1558,32,7130
2014-09-01 15:38:39,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary By HotKey,1925793,abi_report,sotirisr,1558,32,7131
2014-09-01 15:38:54,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1925794,abi_report,sotirisr,1558,32,7133
2014-09-01 15:39:00,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,1925795,abi_report,sotirisr,1558,32,7134
2014-09-01 15:41:21,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1925804,abi_report,sotirisr,1557,32,7102
2014-09-01 15:43:00,BPC - The Owl > Deal Insights > Legal Deals and Misc > Detail Data,1925811,abi_report,sotirisr,1557,32,7119
2014-09-02 11:20:49,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1928648,abi_report,priscillamunoz,1558,32,7133
2014-09-02 11:30:42,BPC - The Owl > RMC Internal Insights > Training > Coverage,1928690,abi_report,priscillamunoz,1558,32,7121
2014-09-02 13:01:57,BPC - The Owl > Home,1929033,editable_area,daniellaf,225,32,0
2014-09-02 16:12:50,BPC - The Owl > RMC Internal Insights > Training > Coverage,1930308,abi_report,priscillamunoz,1558,32,7121
2014-09-02 16:13:10,BPC - The Owl > RMC Internal Insights > Training > Coverage,1930316,abi_report,mikemmurphy,1558,32,7121
2014-09-02 16:15:19,BPC - The Owl > Home,1930353,editable_area,sarahchurch,225,32,0
2014-09-02 16:17:15,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1930379,abi_report,mikemmurphy,1558,32,7133
2014-09-02 16:17:19,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1930380,abi_report,priscillamunoz,1558,32,7133
2014-09-02 17:33:20,BPC - The Owl > Home,1931041,editable_area,ceccarelli,225,32,0
2014-09-02 17:33:25,BPC - The Owl > RMC Internal Insights > Training > Coverage,1931042,abi_report,ceccarelli,1558,32,7121
2014-09-02 17:33:29,BPC - The Owl > Documentation > Deal Data Convergence BRD,1931043,dasnav_report,ceccarelli,809,32,3510
2014-09-02 17:33:34,BPC - The Owl > Documentation > Deal Data Convergence - Design,1931044,dasnav_report,ceccarelli,809,32,3511
2014-09-02 17:40:38,BPC - The Owl > Home,1931098,editable_area,richrailton,225,32,0
2014-09-02 17:40:54,BPC - The Owl > RMC Internal Insights > Training > Coverage,1931100,abi_report,richrailton,1558,32,7121
2014-09-02 17:40:59,BPC - The Owl > RMC Internal Insights > Training > D2 Training,1931102,abi_report,richrailton,1558,32,7123
2014-09-02 17:41:09,BPC - The Owl > RMC Internal Insights > Training > Quizzes,1931106,abi_report,richrailton,1558,32,7122
2014-09-02 17:41:52,BPC - The Owl > RMC Internal Insights > Training > D2 Training,1931109,abi_report,richrailton,1558,32,7123
2014-09-02 18:29:26,BPC - The Owl > Home,1931529,editable_area,jramamurthy,225,32,0
2014-09-02 18:29:37,BPC - The Owl > Documentation > Deal Data Convergence BRD,1931530,dasnav_report,jramamurthy,809,32,3510
2014-09-02 18:30:13,BPC - The Owl > Documentation > Soxcert Employee Target List,1931536,dasnav_report,jramamurthy,809,32,3573
2014-09-02 21:54:34,BPC - The Owl > Home,1932655,editable_area,ceccarelli,225,32,0
2014-09-02 21:54:37,BPC - The Owl > Documentation > Deal Data Convergence BRD,1932656,dasnav_report,ceccarelli,809,32,3510
2014-09-02 22:51:43,BPC - The Owl > Home,1932907,editable_area,ceccarelli,225,32,0
2014-09-02 22:54:09,BPC - The Owl > Home,1932919,editable_area,ceccarelli,225,32,0
2014-09-02 22:54:13,BPC - The Owl > Updates,1932920,dasnav_report,ceccarelli,1586,32,0
2014-09-03 03:49:06,BPC - The Owl > Home,1933770,editable_area,ivyli,225,32,0
2014-09-03 03:49:17,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1933771,abi_report,ivyli,1557,32,7102
2014-09-03 03:49:39,BPC - The Owl > RMC Internal Insights > Training > Coverage,1933772,abi_report,ivyli,1558,32,7121
2014-09-03 03:50:10,BPC - The Owl > Documentation > Deal Data Convergence BRD,1933774,dasnav_report,ivyli,809,32,3510
2014-09-03 03:51:01,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1933779,abi_report,ivyli,1557,32,7102
2014-09-03 04:08:15,BPC - The Owl > RMC Internal Insights > Training > Coverage,1933831,abi_report,ivyli,1558,32,7121
2014-09-03 04:08:31,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1933832,abi_report,ivyli,1557,32,7102
2014-09-03 14:13:49,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,1935978,abi_report,jnikola,1557,32,7117
2014-09-03 15:09:55,BPC - The Owl > Home,1936306,editable_area,alexjonas,225,32,0
2014-09-03 15:14:22,BPC - The Owl > Deal Insights > Metrics by Deal Stage > NEW Geography - Unified Detail,1936328,abi_report,alexjonas,1557,32,7111
2014-09-03 15:15:20,BPC - The Owl > Deal Insights > Legal Deals and Misc > Detail Data,1936335,abi_report,alexjonas,1557,32,7119
2014-09-03 17:23:52,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,1937288,abi_report,jej,1557,32,7117
2014-09-03 17:35:47,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,1937367,abi_report,alexjonas,1557,32,7108
2014-09-03 19:13:52,BPC - The Owl > Home,1937897,editable_area,ericswanson,225,32,0
2014-09-03 20:46:24,BPC - The Owl > Home,1938238,editable_area,ericswanson,225,32,0
2014-09-03 20:47:46,BPC - The Owl > RMC Internal Insights > Training > Coverage,1938243,abi_report,ericswanson,1558,32,7121
2014-09-03 20:47:52,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1938245,abi_report,ericswanson,1558,32,7133
2014-09-03 20:55:39,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,1938302,abi_report,ericswanson,1558,32,7134
2014-09-03 21:53:29,BPC - The Owl > Home,1938621,editable_area,sallyjesmonth,225,32,0
2014-09-03 21:53:36,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1938623,abi_report,sallyjesmonth,1557,32,7102
2014-09-03 21:53:52,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,1938625,abi_report,sallyjesmonth,1557,32,7117
2014-09-03 22:11:52,BPC - The Owl > Home,1938710,editable_area,ceccarelli,225,32,0
2014-09-03 23:36:50,BPC - The Owl > Home,1939010,editable_area,ceccarelli,225,32,0
2014-09-04 01:44:32,BPC - The Owl > Home,1939318,editable_area,ericswanson,225,32,0
2014-09-04 01:44:43,BPC - The Owl > RMC Internal Insights > Training > Coverage,1939319,abi_report,ericswanson,1558,32,7121
2014-09-04 06:30:59,BPC - The Owl > Home,1939973,editable_area,rampal,225,32,0
2014-09-04 06:31:06,BPC - The Owl > RMC Internal Insights > Training > Coverage,1939974,abi_report,rampal,1558,32,7121
2014-09-04 10:52:43,BPC - The Owl > RMC Internal Insights > Training > Coverage,1940857,abi_report,ivyli,1558,32,7121
2014-09-04 10:53:02,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1940859,abi_report,ivyli,1557,32,7102
2014-09-04 10:53:30,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Accountability Summary,1940860,abi_report,ivyli,1557,32,7103
2014-09-04 10:54:33,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1940864,abi_report,ivyli,1557,32,7102
2014-09-04 10:55:58,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1940867,abi_report,ivyli,1557,32,7102
2014-09-04 15:39:22,BPC - The Owl > RMC Internal Insights > Training > Coverage,1942427,abi_report,ceccarelli,1558,32,7121
2014-09-04 15:56:04,BPC - The Owl > Home,1942564,editable_area,ceccarelli,225,32,0
2014-09-04 15:56:08,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942568,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 15:56:23,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942571,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 15:56:24,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942572,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 15:56:29,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942574,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 15:56:46,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942576,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 16:01:41,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942633,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 16:02:39,BPC - The Owl > Home,1942643,editable_area,ceccarelli,225,32,0
2014-09-04 16:02:44,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942644,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 16:02:55,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942646,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 16:02:55,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942647,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 16:03:03,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942648,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 16:04:18,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942661,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 16:04:18,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942662,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 16:04:19,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > (External) Efficiency Dash,1942663,dasnav_report,ceccarelli,1558,32,7272
2014-09-04 16:04:35,BPC - The Owl > Home,1942665,editable_area,ceccarelli,225,32,0
2014-09-04 16:05:46,BPC - The Owl > Home,1942683,editable_area,ceccarelli,225,32,0
2014-09-04 16:05:49,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942684,custom,ceccarelli,1558,32,7269
2014-09-04 16:05:58,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942686,custom,ceccarelli,1558,32,7269
2014-09-04 16:06:51,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942688,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 16:07:16,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942690,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 16:07:24,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942693,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 16:07:24,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942694,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 16:07:35,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > (External) Efficiency Dash,1942696,dasnav_report,ceccarelli,1558,32,7272
2014-09-04 16:07:54,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942700,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 16:15:44,BPC - The Owl > Home,1942771,editable_area,bbuchholz,225,32,0
2014-09-04 16:15:45,BPC - The Owl > Home,1942772,editable_area,bbuchholz,225,32,0
2014-09-04 16:15:51,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942774,dasnav_report,bbuchholz,1558,32,7269
2014-09-04 16:16:05,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942778,dasnav_report,bbuchholz,1558,32,7270
2014-09-04 16:16:20,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942780,dasnav_report,bbuchholz,1558,32,7271
2014-09-04 16:16:51,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > (External) Efficiency Dash,1942787,dasnav_report,bbuchholz,1558,32,7272
2014-09-04 16:17:40,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942803,dasnav_report,bbuchholz,1558,32,7270
2014-09-04 16:17:45,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942804,dasnav_report,bbuchholz,1558,32,7269
2014-09-04 16:22:31,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942855,dasnav_report,bbuchholz,1558,32,7270
2014-09-04 16:27:38,BPC - The Owl > Home,1942891,editable_area,ceccarelli,225,32,0
2014-09-04 16:27:43,BPC - The Owl > Documentation > Deal Data Convergence BRD,1942892,dasnav_report,ceccarelli,809,32,3510
2014-09-04 16:27:44,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942893,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 16:27:52,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942894,dasnav_report,bbuchholz,1558,32,7269
2014-09-04 16:28:37,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO ,1942905,dasnav_report,bbuchholz,1558,32,7271
2014-09-04 16:30:24,BPC - The Owl > Home,1942912,editable_area,bostarce,225,32,0
2014-09-04 16:30:29,BPC - The Owl > Documentation > Deal Data Convergence BRD,1942913,dasnav_report,bostarce,809,32,3510
2014-09-04 16:30:35,BPC - The Owl > Documentation > Soxcert Employee Target List,1942914,dasnav_report,bostarce,809,32,3573
2014-09-04 16:31:42,BPC - The Owl > Home,1942923,editable_area,ceccarelli,225,32,0
2014-09-04 16:31:45,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942924,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 16:31:54,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1942925,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 16:31:57,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1942926,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 16:51:41,BPC - The Owl > Home,1943093,editable_area,bbuchholz,225,32,0
2014-09-04 16:51:46,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1943095,dasnav_report,bbuchholz,1558,32,7270
2014-09-04 16:52:07,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1943096,dasnav_report,bbuchholz,1558,32,7269
2014-09-04 16:52:32,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO: OKRs and Project Tracking,1943099,dasnav_report,bbuchholz,1558,32,7271
2014-09-04 18:28:18,BPC - The Owl > Home,1943883,editable_area,ceccarelli,225,32,0
2014-09-04 18:28:21,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1943884,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 18:28:22,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1943885,abi_report,ceccarelli,1557,32,7102
2014-09-04 18:28:26,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1943887,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 18:31:55,BPC - The Owl > Home,1943941,editable_area,ceccarelli,225,32,0
2014-09-04 18:32:49,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1943955,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 18:34:13,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1943974,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 18:34:14,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1943977,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 18:35:55,BPC - The Owl > Home,1944030,editable_area,ceccarelli,225,32,0
2014-09-04 18:36:00,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1944035,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 18:36:10,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1944040,dasnav_report,ceccarelli,1558,32,7269
2014-09-04 18:36:18,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO: OKRs and Project Tracking,1944047,dasnav_report,ceccarelli,1558,32,7271
2014-09-04 18:36:30,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Contracting Efficiency,1944056,dasnav_report,ceccarelli,1558,32,7272
2014-09-04 18:43:12,BPC - The Owl > Home,1944159,editable_area,ceccarelli,225,32,0
2014-09-04 18:43:15,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1944161,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 18:57:33,BPC - The Owl > Home,1944297,editable_area,richrailton,225,32,0
2014-09-04 18:57:34,BPC - The Owl > Home,1944298,editable_area,richrailton,225,32,0
2014-09-04 18:57:40,BPC - The Owl > Updates,1944299,dasnav_report,richrailton,1586,32,0
2014-09-04 18:57:45,BPC - The Owl > Home,1944300,editable_area,michaelgrosack,225,32,0
2014-09-04 18:57:47,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1944301,dasnav_report,richrailton,1558,32,7270
2014-09-04 18:57:57,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1944302,dasnav_report,richrailton,1558,32,7269
2014-09-04 18:58:03,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > PMO: OKRs and Project Tracking,1944303,dasnav_report,richrailton,1558,32,7271
2014-09-04 18:58:14,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Contracting Efficiency,1944305,dasnav_report,richrailton,1558,32,7272
2014-09-04 18:58:22,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1944308,abi_report,michaelgrosack,1557,32,7102
2014-09-04 21:24:32,BPC - The Owl > Home,1945719,editable_area,ericswanson,225,32,0
2014-09-04 21:39:28,BPC - The Owl > Home,1945854,editable_area,kodur,225,32,0
2014-09-04 21:39:28,BPC - The Owl > Home,1945855,editable_area,kodur,225,32,0
2014-09-04 21:42:29,BPC - The Owl > Deal Insights > Metrics by Deal Stage > NEW Geography - Unified Detail,1945891,abi_report,kodur,1557,32,7111
2014-09-04 21:43:06,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1945899,abi_report,kodur,1557,32,7102
2014-09-04 21:46:46,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1945921,dasnav_report,ericswanson,1558,32,7270
2014-09-04 21:46:52,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1945924,abi_report,ericswanson,1558,32,7133
2014-09-04 21:47:46,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1945934,abi_report,ericswanson,1558,32,7133
2014-09-04 21:56:54,BPC - The Owl > Home,1946005,editable_area,hoangk,225,32,0
2014-09-04 21:56:56,BPC - The Owl > Home,1946006,editable_area,hoangk,225,32,0
2014-09-04 21:59:37,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1946036,abi_report,hoangk,1557,32,7102
2014-09-04 22:01:19,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,1946046,abi_report,ericswanson,1558,32,7134
2014-09-04 22:04:07,BPC - The Owl > Home,1946067,editable_area,ceccarelli,225,32,0
2014-09-04 22:08:17,BPC - The Owl > Home,1946111,editable_area,ceccarelli,225,32,0
2014-09-04 22:08:54,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1946116,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 22:08:56,BPC - The Owl > Updates,1946117,dasnav_report,ceccarelli,1586,32,0
2014-09-04 22:09:01,BPC - The Owl > Home,1946118,editable_area,hoangk,225,32,0
2014-09-04 22:12:48,BPC - The Owl > Home,1946132,editable_area,hoangk,225,32,0
2014-09-04 22:12:51,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,1946133,abi_report,hoangk,1557,32,7102
2014-09-04 22:12:55,BPC - The Owl > Deal Insights > Metrics by Deal Stage > NEW Geography - Unified Detail,1946135,abi_report,hoangk,1557,32,7111
2014-09-04 22:14:40,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946151,abi_report,ericswanson,1558,32,7133
2014-09-04 22:16:07,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946169,abi_report,ericswanson,1558,32,7133
2014-09-04 22:16:09,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,1946170,abi_report,ericswanson,1558,32,7134
2014-09-04 22:58:01,BPC - The Owl > Home,1946456,editable_area,richrailton,225,32,0
2014-09-04 22:58:02,BPC - The Owl > Home,1946457,editable_area,richrailton,225,32,0
2014-09-04 22:58:04,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1946458,dasnav_report,richrailton,1558,32,7270
2014-09-04 22:58:10,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946459,abi_report,richrailton,1558,32,7133
2014-09-04 22:58:15,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,1946460,abi_report,richrailton,1558,32,7134
2014-09-04 22:58:20,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946461,abi_report,richrailton,1558,32,7133
2014-09-04 22:58:38,BPC - The Owl > Home,1946462,editable_area,ceccarelli,225,32,0
2014-09-04 22:58:42,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1946463,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 22:58:55,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946465,abi_report,ericswanson,1558,32,7133
2014-09-04 22:59:31,BPC - The Owl > Home,1946471,editable_area,ceccarelli,225,32,0
2014-09-04 22:59:34,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1946472,dasnav_report,ceccarelli,1558,32,7270
2014-09-04 22:59:39,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946473,abi_report,ceccarelli,1558,32,7133
2014-09-04 22:59:41,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946474,abi_report,ceccarelli,1558,32,7133
2014-09-04 23:01:03,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,1946480,abi_report,ceccarelli,1558,32,7134
2014-09-04 23:01:06,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,1946481,abi_report,ceccarelli,1558,32,7133
2014-09-04 23:16:07,BPC - The Owl > Home,1946548,editable_area,ceccarelli,225,32,0
2014-09-04 23:42:15,BPC - The Owl > Home,1946676,editable_area,ceccarelli,225,32,0
2014-09-04 23:52:41,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,1946712,abi_report,ericswanson,1558,32,7134
2014-09-05 03:50:53,BPC - The Owl > Home,1947534,editable_area,sarahchurch,225,32,0
2014-09-05 03:51:19,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1947535,dasnav_report,sarahchurch,1558,32,7270
2014-09-05 03:51:40,BPC - The Owl > RMC Internal Insights > Training > Quizzes,1947537,abi_report,sarahchurch,1558,32,7122
2014-09-05 03:51:47,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Smokey Mega Dash,1947539,dasnav_report,sarahchurch,1558,32,7269
2014-09-05 03:51:59,BPC - The Owl > RMC Internal Insights > gCases Queries > CIR Metrics,1947540,abi_report,sarahchurch,1558,32,7129
2014-09-05 09:53:46,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,1949214,abi_report,geohartanto,1557,32,7117
2014-09-05 09:53:48,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,1949216,abi_report,geohartanto,1557,32,7117
2014-09-05 10:42:16,BPC - The Owl > Home,1949471,editable_area,sabsandhu,225,32,0
2014-09-05 10:42:26,BPC - The Owl > RMC Internal Insights > Training > Coverage,1949475,abi_report,sabsandhu,1558,32,7121
2014-09-05 11:02:44,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1949563,dasnav_report,sabsandhu,1558,32,7270
2014-09-05 11:03:37,BPC - The Owl > RMC Internal Insights > Training > Coverage,1949569,abi_report,sabsandhu,1558,32,7121
2014-09-05 11:03:45,BPC - The Owl > Home,1949570,editable_area,sabsandhu,225,32,0
2014-09-05 11:03:47,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,1949572,dasnav_report,sabsandhu,1558,32,7270
2014-09-05 11:04:18,BPC - The Owl > Home,1949577,editable_area,sabsandhu,225,32,0
